"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","number"
234622682,"10/7/21","01:18:00","BRONX",46,0,"",FALSE,"","","","18-24","M","BLACK",1011735,249111,40.85039262,-73.90065396,701
225063425,"3/2/21","02:00:00","BROOKLYN",77,0,"MULTI DWELL - APT BUILD",FALSE,"25-44","M","BLACK","25-44","M","BLACK",1004975,183973,40.67162409,-73.9252895,631
236094286,"11/9/21","16:44:00","BRONX",47,0,"",FALSE,"","","","45-64","M","BLACK",1030896,263028,40.88851004,-73.83129773,701
232291476,"8/13/21","16:10:00","BRONX",52,0,"GROCERY/BODEGA",TRUE,"25-44","M","BLACK","18-24","M","BLACK",1013751,253461,40.86232556,-73.89334778,701
238312740,"12/26/21","17:00:00","BRONX",42,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"","","","18-24","M","BLACK",1007424,239937,40.82522502,-73.91626822,701
227000895,"4/15/21","16:15:00","QUEENS",103,0,"HOTEL/MOTEL",FALSE,"<18","M","BLACK","45-64","M","BLACK",1046177,197643,40.70895265,-73.77663441,296
228564723,"5/21/21","17:00:00","BRONX",43,0,"",FALSE,"","","","25-44","M","WHITE HISPANIC",1019730,241806,40.83031403,-73.87179386,701
237362980,"12/3/21","16:02:00","MANHATTAN",34,0,"",FALSE,"25-44","M","BLACK HISPANIC","18-24","M","BLACK",1004176,253201,40.86163874,-73.92796461,343
237012945,"11/27/21","18:03:00","BROOKLYN",67,0,"",FALSE,"","","","18-24","M","WHITE",998553,172620,40.64047529,-73.94846436,631
232132668,"8/11/21","12:40:00","BRONX",40,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","BLACK","45-64","M","BLACK HISPANIC",1010097,237401,40.81825701,-73.90661981,701
232496782,"8/19/21","23:17:00","QUEENS",108,0,"",TRUE,"","","","45-64","M","BLACK",1001262,211748,40.74786778,-73.93860439,296
238238212,"12/23/21","04:05:00","QUEENS",114,0,"BAR/NIGHT CLUB",FALSE,"","","","25-44","F","WHITE HISPANIC",1009215,219725,40.76974372,-73.90987205,296
229411216,"6/11/21","00:44:00","BRONX",43,0,"",TRUE,"","","","18-24","M","BLACK",1020518,242653,40.8326356,-73.86894183,701
224353206,"2/14/21","00:12:00","BRONX",47,0,"",FALSE,"","","","18-24","M","BLACK",1024922,262189,40.8862368,-73.85290883,701
227344440,"4/24/21","22:59:00","BRONX",47,0,"MULTI DWELL - APT BUILD",TRUE,"18-24","M","BLACK","18-24","M","BLACK",1024807,261935,40.88554018,-73.85332627,701
237715870,"12/12/21","01:29:00","BROOKLYN",71,0,"",FALSE,"","","","25-44","M","BLACK",997120,182082,40.66644862,-73.95360974,631
228253201,"5/14/21","06:07:00","BROOKLYN",79,0,"",FALSE,"","","","25-44","M","BLACK",998611,187749,40.68200096,-73.94822315,631
231433039,"7/27/21","16:13:00","MANHATTAN",28,0,"",FALSE,"","","","18-24","M","BLACK",1000302,233204,40.80676064,-73.94201781,343
234323834,"9/30/21","07:30:00","QUEENS",103,0,"",FALSE,"25-44","M","BLACK","25-44","M","BLACK",1040325,191194,40.69129071,-73.79779584,296
